CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
85073072,2,1,4,M,14,6,1,-,-,1,VENTURA,"THOUSAND OAKS",2026
85073072,2,2,2,M,15,6,2,P,-,1,VENTURA,"THOUSAND OAKS",2026
9093334,2,1,4,M,9,3,1,P,V,0,VENTURA,MOORPARK,2020
9214014,1,1,4,M,21,3,-,P,V,1,VENTURA,OXNARD,2020
9265618,1,1,4,F,65,4,1,-,P,0,VENTURA,"PORT HUENEME",2020
9434790,2,1,3,M,54,6,0,P,-,0,VENTURA,VENTURA,2022
9516324,1,1,4,M,29,3,-,P,X,0,VENTURA,OXNARD,2022
81691284,1,1,4,-,29,5,1,-,A,1,VENTURA,FILLMORE,2022
82163011,3,1,4,M,67,6,1,-,-,1,VENTURA,"THOUSAND OAKS",2023
82163011,4,1,4,F,57,5,1,-,-,1,VENTURA,"THOUSAND OAKS",2023
82163011,5,1,4,M,65,6,1,-,-,1,VENTURA,"THOUSAND OAKS",2023
84908442,2,1,3,M,62,7,9,-,P,-,VENTURA,"SIMI VALLEY",2025
85120312,2,1,3,F,16,7,9,-,-,-,VENTURA,OXNARD,2026
91444520,1,1,3,M,62,1,9,-,-,-,VENTURA,UNINCORPORATED,2021
91444520,2,1,1,M,47,6,1,M,G,0,VENTURA,UNINCORPORATED,2021
9109923,1,1,3,F,20,3,-,-,-,-,VENTURA,VENTURA,2020
9115317,2,1,3,M,18,4,-,-,B,-,VENTURA,"THOUSAND OAKS",2020
9206631,2,1,4,M,13,3,1,W,-,1,VENTURA,"THOUSAND OAKS",2020
9421132,1,1,4,M,30,6,1,P,V,1,VENTURA,VENTURA,2022
9521709,2,1,1,M,22,3,1,M,G,0,VENTURA,OXNARD,2022
